""
"Test Method","brazil.msm"
"Sample I. D.","Sample2.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (in)","Stress (ksi)","Strain (%)"

9.94,0.000,-0.00338,0.020,-0.169
9.78,0.100,-0.00338,0.019,-0.169
23.01,0.300,-0.00225,0.045,-0.113
25.12,0.400,-0.00140,0.050,-0.070
32.50,0.500,-0.00056,0.064,-0.028
58.29,0.600,0.00027,0.115,0.014
93.21,0.700,0.00113,0.184,0.056
135.11,0.800,0.00194,0.266,0.097
175.25,0.900,0.00279,0.346,0.140
222.11,1.000,0.00360,0.438,0.180
264.96,1.100,0.00446,0.522,0.223
313.84,1.200,0.00527,0.619,0.263
358.85,1.300,0.00613,0.707,0.307
408.86,1.400,0.00693,0.806,0.347
454.93,1.500,0.00779,0.897,0.390
506.45,1.600,0.00860,0.998,0.430
553.45,1.700,0.00946,1.091,0.473
604.95,1.800,0.01026,1.193,0.513
652.80,1.900,0.01113,1.287,0.557
704.98,2.000,0.01192,1.390,0.596
753.24,2.100,0.01280,1.485,0.640
549.66,2.200,0.01359,1.084,0.680
559.02,2.300,0.01446,1.102,0.723
596.52,2.400,0.01526,1.176,0.763
632.91,2.500,0.01613,1.248,0.807
670.54,2.600,0.01692,1.322,0.846
706.92,2.700,0.01780,1.394,0.890
744.65,2.800,0.01859,1.468,0.929
781.68,2.900,0.01946,1.541,0.973
818.99,3.000,0.02026,1.615,1.013
855.66,3.100,0.02113,1.687,1.057
891.89,3.200,0.02192,1.758,1.096
929.30,3.300,0.02280,1.832,1.140
965.50,3.400,0.02358,1.903,1.179
1002.53,3.500,0.02446,1.977,1.223
1038.49,3.600,0.02525,2.047,1.263
1075.42,3.700,0.02612,2.120,1.306
1110.72,3.800,0.02691,2.190,1.346
1147.90,3.900,0.02779,2.263,1.389
1183.04,4.000,0.02858,2.332,1.429
1220.25,4.100,0.02946,2.406,1.473
1254.02,4.200,0.03025,2.472,1.513
1291.25,4.300,0.03112,2.546,1.556
1324.17,4.400,0.03192,2.611,1.596
1360.94,4.500,0.03279,2.683,1.639
1392.97,4.600,0.03358,2.746,1.679
1429.16,4.700,0.03445,2.818,1.722
1460.60,4.800,0.03525,2.880,1.763
1497.14,4.900,0.03612,2.952,1.806
1527.13,5.000,0.03692,3.011,1.846
1562.32,5.100,0.03778,3.080,1.889
1592.32,5.200,0.03859,3.139,1.930
1627.14,5.300,0.03944,3.208,1.972
1655.64,5.400,0.04026,3.264,2.013
1689.68,5.500,0.04111,3.331,2.055
1716.39,5.600,0.04193,3.384,2.096
1750.75,5.700,0.04277,3.452,2.139
1777.67,5.800,0.04359,3.505,2.180
1810.83,5.900,0.04444,3.570,2.222
1836.43,6.000,0.04527,3.621,2.263
1869.20,6.100,0.04610,3.685,2.305
1893.44,6.200,0.04693,3.733,2.347
1925.49,6.300,0.04776,3.796,2.388
1949.27,6.400,0.04860,3.843,2.430
1979.72,6.500,0.04943,3.903,2.472
2002.51,6.600,0.05027,3.948,2.514
2033.16,6.700,0.05110,4.008,2.555
2055.20,6.800,0.05194,4.052,2.597
2063.68,6.820,0.05212,4.069,2.606


